NAME,DOCUMENT,PREPROCESSED
Set up File History,"Restoring previous versions of yourfiles has been possible since Windows 7.But, in Windows 10, the system has been redesigned to simplify its use.File History makes it possible to save your files automatically and to continually maintain a history.enabled by default in Windows 10.To enable it, go to the Windows settings, open the Update and Security section and then select Backup in the left menu.Begin by defining the location wherethe File History will be stored.You can select an external readeror a network reader.You can also use an internal reader,as long as it is different from the disk where the operating system is installed.Once the service has been activated,click on the More options link to configure it.You can save your files immediately.You can use this button wheneveryou need to force saves.Here, you can change the save frequency and determine how long you want to keep the data.In this part, you will find all the folders that will be saved.By default, Windows saves all the folders contained in your personal folder, but you can remove any of these folders by selecting them and clicking on Remove.You can also add other folders fromany disk, except the one used for the file history.The Exclude these folders optionis very useful, for example, if you want to exclude content from saved folders.Finally, the last option allowsyou to stop the current reader,to replace it or to simply disablethe File History feature.",restor previou version yourfil possibl sinc window 7but window 10 system redesign simplifi usefil histori make possibl save file automat continu maintain historyen default window 10to enabl go window set open updat secur section select backup left menubegin defin locat whereth file histori storedy select extern readeror network readery also use intern readera long differ disk oper system installedonc servic activatedclick option link configur ityou save file immediatelyy use button whenevery need forc savesher chang save frequenc determin long want keep datain part find folder savedbi default window save folder contain person folder remov folder select click removey also add folder fromani disk except one use file historyth exclud folder optioni use exampl want exclud content save foldersfin last option allowsy stop current readerto replac simpli disableth file histori featur
Search everything and everywhere,"With Windows 10, searching for information has never been so easy and effective.The search box available here on the Taskbar helps you to find everything you are looking for:it allows you to search for files,applications, settings or help on the Web.When you select the search box, several filters are available.You can choose one to narrow down your search to a certain type of information.For instance, if you choose Apps,the search will be limited to applications.Other filters are available in the upper right corner to further refine your search.However, if you do not know whatStart typing in the search box and several suggestions and answers to your questions will appear.The results will be classified inseveral categories to facilitate your choice.All you need to do is select what you wish to open.search boxes are available, such as the one in Windows settings, which helps you to quickly find settings, or the one in File Explorer, which allows you to search only in the folder where you are located.Lastly, you can select the microphone beside the search box and ask Cortana to do a search on your PC or on the Web.",window 10 search inform never easi effectiveth search box avail taskbar help find everyth look forit allow search filesappl set help webwhen select search box sever filter availabley choos one narrow search certain type informationfor instanc choos appsth search limit applicationsoth filter avail upper right corner refin searchhowev know whatstart type search box sever suggest answer question appearth result classifi insever categori facilit choiceal need select wish opensearch box avail one window set help quickli find set one file explor allow search folder locatedlastli select microphon besid search box ask cortana search pc web
Use the People icon from Taskbar,"Before the last Windows 10 Fall Creators update, you may have noticed the new People icon, to the left of the notification bar on the taskbar.This feature allows you to pin contacts to the Taskbar, to send them emails quickly or to discuss instantaneously via Skype.If you already added an account to one of the following applications,People, Mail or Skype, you will find all your contacts here, when you click on Find and pin contacts.If you have not, click on the Peopleicon and then on Get started, in the pane being displayed.The applications in which Windows can search for contacts will appear.For example, choose the People tool and select Add Accounts to import your contacts.You can add all of your messaging accounts to the People application by clicking on Settings, and then on Add an account, to display all of your contacts in the same place.If you click again on Find and pin contacts, you will see a list of all of your contacts.All you need to do is click on your favourite contacts to pin them to the taskbar.When you click on a contact, a window will appear asking you how you wish to communicate with them.You can choose between sending them an email or calling them via Skype,as long as they are connected to their Skype account.To unpin a contact from the taskbar, right-click on it and select Unpin from taskbar.You can also add contacts directlyusing the People icon.To do this, click on the ellipsisbeside Find and pin contacts, and then on New contact.A dialog box will open.Fill in the requested informationand then click on Save to save the new contact.Lastly, you can open the taskbar settings to configure the way pinnedcontacts will interact.",last window 10 fall creator updat may notic new peopl icon left notif bar taskbarthi featur allow pin contact taskbar send email quickli discuss instantan via skypeif alreadi ad account one follow applicationspeopl mail skype find contact click find pin contactsif click peopleicon get start pane displayedth applic window search contact appearfor exampl choos peopl tool select add account import contactsy add messag account peopl applic click set add account display contact placeif click find pin contact see list contactsal need click favourit contact pin taskbarwhen click contact window appear ask wish commun themyou choos send email call via skypea long connect skype accountto unpin contact taskbar rightclick select unpin taskbary also add contact directlyus peopl iconto click ellipsisbesid find pin contact new contacta dialog box openfil request informationand click save save new contactlastli open taskbar set configur way pinnedcontact interact
Work seamlessly across all my devices,"As we saw in the first training video, Windows 10 is the only unified platform designed to run on a widevariety of devices.If you are running Windows 10 on several devices, this feature allows you to retrieve your chosen settings from one device, for example your computer, on all your other devices, as long as you are connected to the same Microsoft account on all devices.It also allows you to start working on one device and to continue on a different one.To synchronise your settings, open Windows Settings, select the Accounts section and choose Sync your settings.You can Enable/Disable thesynchronisation of all your settingsand choose individual settings to synchronise, such as: Theme, for the Windows graphic environment,including the desktop background,tiles, taskbar position, etc.Internet Explorer settings, tosynchronise browsing history, favourites, etc.Language preferences for the dictionaries and system language settings.And if you decide to enable Other Windows settings, Windows will also synchronise the settings for certain peripherals, such as printers and mouse options, as well as the File Explorer settings and notification preferences.",saw first train video window 10 unifi platform design run widevarieti devicesif run window 10 sever devic featur allow retriev chosen set one devic exampl comput devic long connect microsoft account devicesit also allow start work one devic continu differ oneto synchronis set open window set select account section choos sync settingsy enabledis thesynchronis settingsand choos individu set synchronis theme window graphic environmentinclud desktop backgroundtil taskbar posit etcinternet explor set tosynchronis brows histori favourit etclanguag prefer dictionari system languag settingsand decid enabl window set window also synchronis set certain peripher printer mous option well file explor set notif prefer
Another way to browse with Microsoft Edge,"With Windows 10, Microsoft proposes a new browser, presented as a new generation browser.Called Microsoft Edge, it provides many features that will change your habits on the Web.Let’s begin with the quick search feature.No matter what you are searchingfor or want to find out, save time by typing your key words directly on the address bar.You will immediately obtain search suggestions, instantaneous results from the Web and your browsing history.If you want to add a site to your Favorites or continue reading an article later on, you only need to use one button to add sites to your Favorites or articles to your Reading list.You can also right-click on a linkand select Add to reading list,without even accessing the page.Retrieve everything that you collected from the Web in one location called the Hub.In the Hub, you will find yourfavourites, your reading list, your browsing history and your current downloads.to your browser so that it is always visible.Another useful feature when you open several tabs is your tab overview.When you approach a tab with your mouse cursor, a miniature overview of the tab will be displayed.You can also display an overview of all your tabs by clicking on the down arrow.Next, use the scrolling arrows toscroll the thumbnails, forward or backward.You can also set your tabs asidefor later by clicking on this button.To retrieve them, click on the Tabsthat you’ve set aside button.You can then restore them one byone by clicking on them or restore them all at once by clicking here.Watch the next video to discover more features!",window 10 microsoft propos new browser present new gener browsercal microsoft edg provid mani featur chang habit weblet begin quick search featureno matter searchingfor want find save time type key word directli address baryou immedi obtain search suggest instantan result web brows historyif want add site favorit continu read articl later need use one button add site favorit articl read listyou also rightclick linkand select add read listwithout even access pageretriev everyth collect web one locat call hubin hub find yourfavourit read list brows histori current downloadsto browser alway visibleanoth use featur open sever tab tab overviewwhen approach tab mous cursor miniatur overview tab displayedy also display overview tab click arrownext use scroll arrow toscrol thumbnail forward backwardy also set tab asidefor later click buttonto retriev click tabsthat youv set asid buttony restor one byon click restor click herewatch next video discov featur
Read articles without distractions and annotate webpages,"When you read articles on the Web,you can often be distracted by animated images or videos that start automatically.With the Microsoft Edge browser,you can you read your favourite articles without any distractionsby enabling the Reading view.To do so, click on the book iconto the right of the address bar:a simple and clear display of your article will open.You can also change the readingoptions to find the display that suits you best.Still in Microsoft Edge’s integrated features, you will find your smart assistant Cortana.When you want to find out more about a topic found on the Web, Cortana is there to answer all your questions.Select a word, an expression oran image and right-click on it.Then choose Ask Cortana about toobtain additional information or to view images associated with it.Another impressive feature introduced by Microsoft Edge is the ability to annotate webpages, with the option of recording them or sharing them afterwards.Select Add Notes to begin.You can then use the stylus to write or the highlighter to highlight text.You can also write notes, capture parts of the page and, lastly, record your annotations or share them.Finally, to change the settingsin Microsoft Edge, click on the ellipsis at the top of your browserto the right and select Settings.",read articl webyou often distract anim imag video start automaticallywith microsoft edg browsery read favourit articl without distractionsbi enabl read viewto click book iconto right address bara simpl clear display articl openy also chang readingopt find display suit beststil microsoft edg integr featur find smart assist cortanawhen want find topic found web cortana answer questionsselect word express oran imag rightclick itthen choos ask cortana toobtain addit inform view imag associ itanoth impress featur introduc microsoft edg abil annot webpag option record share afterwardsselect add note beginy use stylu write highlight highlight textyou also write note captur part page lastli record annot share themfin chang settingsin microsoft edg click ellipsi top browserto right select set
Let Cortana to work for you,"Besides helping you to find helpand providing you with search results,your digital assistant Cortana canalso perform certain tasks for you.Here are a few examples:  by making oral or written requests.Let’s begin by defining a reminder.To do this, click on the microphone or activate Cortana by saying “Hey Cortana” if you have already parameterised her.Say for example Add meeting with Anna at 3 pm.That’s it! The reminder has been saved!When the time comes, Cortana will send you a reminder by way of a notification that will appear at the bottom right of your screen.Let’s now try and send an email.“Hey Cortana”, “Send an email to Anna” “Can you contact me again?”.Our message has been sent. is already in my contact list, which explains why Cortana was able to find her.The last example that we will look at is how to add an event to your calendar.But, this time, we will try making a written request.Click on the search box and beginto type your request, such as “Add event”.As you can see, even if you don’t know how to formulate your request,suggestions will appear.Next, select “Create a calendar event”, specify the topic and the date of the event, and uncheck this box if you want to specify a start time and an end time.Finally, click on Add to confirmthe event creation.Your event has been added to your calendar.Finally, note that in order to usethese features, you must have signed in using a Microsoft account andthat the more you use Cortana, the more personalised your experience will be.",besid help find helpand provid search resultsyour digit assist cortana canalso perform certain task youher exampl make oral written requestslet begin defin reminderto click microphon activ cortana say hey cortana alreadi parameteris hersay exampl add meet anna 3 pmthat remind savedwhen time come cortana send remind way notif appear bottom right screenlet tri send emailhey cortana send email anna contact againour messag sent alreadi contact list explain cortana abl find herth last exampl look add event calendarbut time tri make written requestclick search box beginto type request add eventa see even dont know formul requestsuggest appearnext select creat calendar event specifi topic date event uncheck box want specifi start time end timefin click add confirmth event creationyour event ad calendarfin note order usethes featur must sign use microsoft account andthat use cortana personalis experi
Work anywhere with OneDrive,"As indicated earlier, Windows 10incorporates many useful featuresthat allow you to work seamlesslyon all your devices.One of these features is the OneDrive tool.OneDrive is an online storage spaceprovided free of charge with yourMicrosoft account.It allows you to save your filesand access them from any PC, tablet or phone.Let’s first look at how to configure your OneDrive tool.To do this, look for it in the Start menu.When you click on it, the configuration window will open.Enter your Microsoft account her and then click on Sign in.Enter your password and click again on Sign in.Wait a little while and your OneDrive will be ready to use!To access your OneDrive folder,open File Explorer and then clickon OneDrive in the navigation pane.The first step is to add files.The best way to do this is by dragging the files into the OneDrive folder.synchronised with your online storage space, which will then allow you to access it from anywhere.be connected to the Internet to usethe offline files available on your PC.However, when you reconnect, OneDrivewill update the online versionswith the changes that you made offline.Finally, you should know that you can synchronise several accountswith the OneDrive tool.By way of example, let’s take yourprofessional Office 365 account.To add this account, right-clickon the OneDrive icon on the notification bar and then choose Setting.In the window that opens, select Add an account.Then, configure your new account in the same way.When you open File Explorer, youwill find two OneDrive folders,one named “Personal” and the otherone bearing your company name.",indic earlier window 10incorpor mani use featuresthat allow work seamlesslyon deviceson featur onedr toolonedr onlin storag spaceprovid free charg yourmicrosoft accountit allow save filesand access pc tablet phonelet first look configur onedr toolto look start menuwhen click configur window openent microsoft account click sign inent password click sign inwait littl onedr readi useto access onedr folderopen file explor clickon onedr navig paneth first step add filesth best way drag file onedr foldersynchronis onlin storag space allow access anywhereb connect internet useth offlin file avail pchowev reconnect onedrivewil updat onlin versionswith chang made offlinefin know synchronis sever accountswith onedr toolbi way exampl let take yourprofession offic 365 accountto add account rightclickon onedr icon notif bar choos settingin window open select add accountthen configur new account waywhen open file explor youwil find two onedr folderson name person otheron bear compani name
Manage files with OneDrive,"With OneDrive, you can manage yourfiles and folders in various ways.By default, a copy of all your OneDrive files and folders is kept on your computer.That way, your files and folders are always available, even offline.However, they take up space on your device.To inform you regarding the synchronisation status of each file or folder, OneDrive diplays the following three icons: “synchronized”, “sync pending” and “cannot be synchronized”. folders to be synchronised.To do this, right-click on your OneDrive folder and choose “Choose OneDrive folders to sync”.Next, uncheck the boxes beside the folders that you do not want to keep on that device.Another way to manage your folders on OneDrive is by enabling the “Files On-Demand” feature.This feature allows you to see and access all your files without having to download them and use storage space on your device.The files and folders that are only available online are marked with the cloud icon.You can see the content of a file only available online without having to download it and, when you open it, OneDrive will download a copy of it onto your device.It then becomes a local file thatyou can use even without Internet access.Files of this kind are marked with a white circle and a green checkmark. available online only at any time,to free up space on your device.To do this, right-click on it andselect the Clear space command.You can also define files and foldersso that they are always available on your device.To do this, right-click on a folderand then choose “Always keep on this device”.OneDrive will mark this kind of folders with a green circle and a white checkmark.The last icon that you will find when using the “Files On-Demand” featureis Sync pending, which means that the item has not yet been fully synchronised.Finally, when you right-click on a file or folder, you will find other options such as View online,which allows you to consult your online selection in your browser,and Share a OneDrive link, whichallows you to create a share linkso you can email it to other people.",onedr manag yourfil folder variou waysbi default copi onedr file folder kept computerthat way file folder alway avail even offlinehowev take space deviceto inform regard synchronis statu file folder onedr diplay follow three icon synchron sync pend synchron folder synchronisedto rightclick onedr folder choos choos onedr folder syncnext uncheck box besid folder want keep deviceanoth way manag folder onedr enabl file ondemand featurethi featur allow see access file without download use storag space deviceth file folder avail onlin mark cloud icony see content file avail onlin without download open onedr download copi onto deviceit becom local file thatyou use even without internet accessfil kind mark white circl green checkmark avail onlin timeto free space deviceto rightclick andselect clear space commandy also defin file foldersso alway avail deviceto rightclick folderand choos alway keep deviceonedr mark kind folder green circl white checkmarkth last icon find use file ondemand featurei sync pend mean item yet fulli synchronisedfin rightclick file folder find option view onlinewhich allow consult onlin select browserand share onedr link whichallow creat share linkso email peopl
Take my notes everywhere,"In this video, we will discover the OneNote tool.OneNote is a digital notepad that automatically records and synchronisesall your notes so that you can find them again on all your devices.Begin by opening OneNote.To do this, look for it in the listof applications in the Start menu.Once it is launched, the first thingto do is to make sure that you are signed in with a Microsoft account.OneNote is organised in the following manner: on the left-hand side, you will find your Notebooks: each Notebook is made up of sections and each section includes pages.When you click on a page to work on it, the navigation between Notebooks is hidden.You can click anywhere on the page to begin writing.You can then format your text usingthe tools available under the Home tab.You can also insert items such as tables, images and files.Free-hand drawing and shape insertion tools are also available.When you’re finished jotting downyour notes, you can keep them for yourself, consult them again andrework them on all of your devices,or you can share them with other people.To do this, click on the Share buttonat the top right of the screen,and then decide if you want to shareonly this page or the whole notepad.Then, copy the link to this pageand send it to whomever you want.Finally, if you have already usedOneNote in a professional or personal setting, you will no doubt findtwo icons linked to the OneNote application in your Start menu.The OneNote tool is preinstalled on Windows 10.This version can only be run on Windows 10 and this is the one you discovered in this video.OneNote 2016 is an office application includedin the Microsoft Office 2016 and Office 365 suite.This one runs on all Windows versions.It is similar to other Office applications such as Word, Excel and PowerPoint.",video discov onenot toolonenot digit notepad automat record synchronisesal note find devicesbegin open onenoteto look listof applic start menuonc launch first thingto make sure sign microsoft accountonenot organis follow manner lefthand side find notebook notebook made section section includ pageswhen click page work navig notebook hiddeny click anywher page begin writingy format text usingth tool avail home tabyou also insert item tabl imag filesfreehand draw shape insert tool also availablewhen your finish jot downyour note keep consult andrework devicesor share peopleto click share buttonat top right screenand decid want shareonli page whole notepadthen copi link pageand send whomev wantfin alreadi usedonenot profession person set doubt findtwo icon link onenot applic start menuth onenot tool preinstal window 10thi version run window 10 one discov videoonenot 2016 offic applic includedin microsoft offic 2016 offic 365 suitethi one run window versionsit similar offic applic word excel powerpoint
All my emails in one place,"In this video, we will look at theMail application provided in Windows 10.Mail is an email client preinstalled in Windows.It makes it possible to manage various email accounts (Outlook, Google, Yahoo, etc.).Let’s begin by setting it up.To do this, open it from the Start menu.When launched for the first time, the Mail Application invites you to add an account.If you already have parameterised a Microsoft account, it will be directly proposed to you.However, you can always configure other accounts by clicking on Add account.A dialog box will open and ask youto choose an account type.Choose your account type, enteryour email address and your password,and your account will be set up automatically.Click on OK to start using it.The application will look like this:you will find the inbox as well as various folders in the left column;a list of emails in the middle,and an overview of the selectedemails on the right-hand side.To do this, click on Accounts atthe top left of the application.The Manage accounts pane will be displayed.Next, click on Add account and begin the account configuration procedure as explained earlier.To toggle between the various configured accounts, all you need to do is click on the desired account in the Accounts section.A bar will appear to the left of the account name to mark the account being used.synchronised with your Calendar application.Therefore, you don’t need to add the same accounts twice.As soon as an account has been configured in one of these two applications, you are automatically signed into the other applicationwith the same account.And to toggle between bothapplications, select the icons available at the bottom left of the window.Finally, you can parameterise andpersonalise your application usingthe wheel gear available at thebottom left of the application.",video look themail applic provid window 10mail email client preinstal windowsit make possibl manag variou email account outlook googl yahoo etclet begin set upto open start menuwhen launch first time mail applic invit add accountif alreadi parameteris microsoft account directli propos youhowev alway configur account click add accounta dialog box open ask youto choos account typechoos account type enteryour email address passwordand account set automaticallyclick ok start use itth applic look like thisyou find inbox well variou folder left columna list email middleand overview selectedemail righthand sideto click account atth top left applicationth manag account pane displayednext click add account begin account configur procedur explain earlierto toggl variou configur account need click desir account account sectiona bar appear left account name mark account usedsynchronis calendar applicationtherefor dont need add account twicea soon account configur one two applic automat sign applicationwith accountand toggl bothappl select icon avail bottom left windowfin parameteris andpersonalis applic usingth wheel gear avail thebottom left applic
Use the Calendar application,"As explained in the previous video,the Mail and Calendar applicationsare automatically synchronised assoon as an account is configuredin one of those two applications.To launch the Calendar application, you can use the Switch to calendar icon, which is available at the bottom left of the Mail application, if it’s open, or you can open it from the Start menu as you would open any other program.The application looks like this:In the section on the left hand side, you will find the agenda for the current month, the various calendars associated with each of your accounts and the Add calendarsbutton to add more calendars, such as a holiday calendar or a gamecalendar for your favourite sports teams.The section to the right presentsthe event details added to your calendar.You can toggle between the different views by clicking here.You can choose the Day, Week, Month or Year view.To add an event, all you need to do is click on an empty space on your calendar, and then fill in the information.Begin by naming your event and thenspecify the start time and the end time as well as the location.Click on Done to confirm the eventaddition or on More details if you want to add more information.Here, you can decide when you would like to receive the reminder and make the event cyclical, e.g., a daily or a weekly event for example.You can also choose the appropriate calendar and add a description.When you are finished filling in all the fields, click on Save andclose to confirm the event creation.Finally, use the wheel gear iconat the bottom left of the applicationto parameterise and personalise your application.",explain previou videoth mail calendar applicationsar automat synchronis assoon account configuredin one two applicationsto launch calendar applic use switch calendar icon avail bottom left mail applic open open start menu would open programth applic look like thisin section left hand side find agenda current month variou calendar associ account add calendarsbutton add calendar holiday calendar gamecalendar favourit sport teamsth section right presentsth event detail ad calendary toggl differ view click herey choos day week month year viewto add event need click empti space calendar fill informationbegin name event thenspecifi start time end time well locationclick done confirm eventaddit detail want add informationher decid would like receiv remind make event cyclic eg daili weekli event exampley also choos appropri calendar add descriptionwhen finish fill field click save andclos confirm event creationfin use wheel gear iconat bottom left applicationto parameteris personalis applic
Manage my photos,"To help you manage your photos, Windows 10 includes a very complete application named Photos.To launch the Photos application,open the Start menu, and then click on its tile.By default, all photos saved in the Pictures folder are directly available from the Collection tab.They appear as tiles and areclassified in reverse chronological order.You can click on the Import Button to add more pictures from a folder,a camera or a phone connected to your computer.all its subfolders will also be included.If you want to, you can launch aslideshow of your pictures by clickingon the ellipsis at the top rightof the window, and then Slideshow.You can also use the parametersto configure and personalise your application.application makes it possibleto organise yourpictures into several albums.To do this, click on the Createbutton, and then on Album.Next, select the photos that you want to add to this album and confirm its creation by clicking on the Add button.Your album has been created and all that’s left to do is to name it.The toolbar that is displayed atthe top of your album allows you to share it, add more photos fromyour collection, launch a slideshowof the photos included in this albumor delete the album.To retrieve all your albums, goback to the main interface by clickingon the arrow on the top left ofthe screen, and then click on the Albums tab.Watch the next video to learn howto improve or retouch your photoswith the Photos application.",help manag photo window 10 includ complet applic name photosto launch photo applicationopen start menu click tilebi default photo save pictur folder directli avail collect tabthey appear tile areclassifi revers chronolog ordery click import button add pictur foldera camera phone connect computeral subfold also includedif want launch aslideshow pictur clickingon ellipsi top rightof window slideshowy also use parametersto configur personalis applicationappl make possibleto organis yourpictur sever albumsto click createbutton albumnext select photo want add album confirm creation click add buttonyour album creat that left name itth toolbar display atth top album allow share add photo fromyour collect launch slideshowof photo includ albumor delet albumto retriev album goback main interfac clickingon arrow top left ofth screen click album tabwatch next video learn howto improv retouch photoswith photo applic
Edit and enhance images using the Photos application,"Besides giving you various optionsto organise your pictures, the Photos application includes several features allowing you to improve and retouch your photos.To begin, click on a photo to enlarge it.Several tools will appear above the photo.You can use them to zoom in the photo, delete it or rotate it.You could also print it and shareit with your contacts by email or through other applications of your choice.The retouching tools are groupedunder the Edit and Create button.Let’s begin with the Edit feature.Several types of improvements are proposed to the right of the photosuch as Crop and rotate, automatically improve your picture or add a filter.The Adjust section will allow youto manually set items such as light,colour and brightness.You can even delete red eyes.To save your edits, you can click on Save a copy to create a modified copy of the original, or on Saveto edit the original photo.You can also cancel all edits appliedby clicking on Undo all.Let’s now look at the Draw option.Choose one of the Stylus pen available, select a colour and a size and then add your personaltouch to your photos.If there is something you don’tlike, use the Eraser tool to erase it or erase your entire drawing.The last option available with theEdit and Create button allows youto create a video with text.This is a powerful video creation tool, which comes with the Photos application.Name your video, add as many photos and videos as you want and then start creating your video.Drag your items into the Timeline.For each one of them, determine their duration, specify a filter to change their appearance, choose a movement style for the camera and add text.You can also add music by clicking here.Use the overview feature to view your creation.Finally, to save time, you can applya theme that will edit the filters,the music, the text style and themovement for you, for the entire video.",besid give variou optionsto organis pictur photo applic includ sever featur allow improv retouch photosto begin click photo enlarg itsever tool appear photoy use zoom photo delet rotat ityou could also print shareit contact email applic choiceth retouch tool groupedund edit creat buttonlet begin edit featuresever type improv propos right photosuch crop rotat automat improv pictur add filterth adjust section allow youto manual set item lightcolour brightnessy even delet red eyesto save edit click save copi creat modifi copi origin saveto edit origin photoy also cancel edit appliedbi click undo alllet look draw optionchoos one stylu pen avail select colour size add personaltouch photosif someth dontlik use eras tool eras eras entir drawingth last option avail theedit creat button allow youto creat video textthi power video creation tool come photo applicationnam video add mani photo video want start creat videodrag item timelinefor one determin durat specifi filter chang appear choos movement style camera add textyou also add music click hereus overview featur view creationfin save time applya theme edit filtersth music text style themov entir video
Use the Snipping tool,"To take a screenshot, Windows 10incorporates a very powerful toolthat allows you to take a shot ofall or part of your screen, add notes, save the screenshot or email it.To open the Snipping Tool, simplyenter “Snipping” in the search box,and then select Snipping Tool in the list of results.To take a screenshot, begin bychoosing a Screenshot mode; several types are available: Free-form to draw freely around an object.Rectangular to drag the cursor inorder to form a rectangle.Window to take a shot of a specificwindow such as a dialog box.Full-screen to take a shot of your entire screen.Once you have chosen your screenshotmode, you can then take a screenshot.You can also delay the screenshotby choosing a value between one and five seconds in the Delay menu.Once the screenshot has been taken, it is automatically copied into the Snipping Tool window.From there, you can annotate it using a Pen or a Highlighter.You can then save it or share it. at any time to take another screenshot and on the Cancel button to cancel the current screenshot.Finally, you can use the Options button to change the settings for your application.",take screenshot window 10incorpor power toolthat allow take shot ofal part screen add note save screenshot email itto open snip tool simplyent snip search boxand select snip tool list resultsto take screenshot begin bychoos screenshot mode sever type avail freeform draw freeli around objectrectangular drag cursor inord form rectanglewindow take shot specificwindow dialog boxfullscreen take shot entir screenonc chosen screenshotmod take screenshoty also delay screenshotbi choos valu one five second delay menuonc screenshot taken automat copi snip tool windowfrom annot use pen highlightery save share time take anoth screenshot cancel button cancel current screenshotfin use option button chang set applic
Authentication modes,"As mentioned earlier, besides youraccount name and its associated password, Windows 10 offers several additional options to simplify authentication on your computer.To enable one of the options proposed, go to Windows settings, select Accounts and choose Sign-in options in the left-hand side pane.You can then choose a PIN or a Picturepassword instead of your usual password.Let’s begin with the PIN.Click on Add to configure it.You will need to enter your sign-in password.Next, you will need to create a simple PIN code that contains only numbers, or choose a more complex one that contains letters and symbols.To do this, you will need to check this box.Once your code has been created,you can go back to itat any time here to Change it or Remove it.From now on, the system will askyou for it each time you connect to Windows.Let’s now look at the Picture password option.As you would for the PIN, click on Add to configure it.Begin by entering your sign-in password and then choose a picture.Picture password consists in definingthree movements on a picture.You can choose among several kinds of movement: points, circles or straight lines; and you can mix these three kinds of movement.However, you must be careful with the size, position and orientation of the movements used.And here is an example… Next, reproduce the movements to confirm them.Your Picture password has now been created.Next time you come to the sign-inscreen, the last sign-in optionyou defined will be proposed to you.However, you can click on Sign-in options to choose a different authentication mode.Finally, note that the Sign-in optionsfeature will only appear here if you have already configured oneof the sign-in modes presented in this video.",mention earlier besid youraccount name associ password window 10 offer sever addit option simplifi authent computerto enabl one option propos go window set select account choos signin option lefthand side paney choos pin picturepassword instead usual passwordlet begin pinclick add configur ityou need enter signin passwordnext need creat simpl pin code contain number choos complex one contain letter symbolsto need check boxonc code createdy go back itat time chang remov itfrom system askyou time connect windowslet look pictur password optiona would pin click add configur itbegin enter signin password choos picturepictur password consist definingthre movement picturey choos among sever kind movement point circl straight line mix three kind movementhowev must care size posit orient movement usedand exampl next reproduc movement confirm themyour pictur password creatednext time come signinscreen last signin optiony defin propos youhowev click signin option choos differ authent modefin note signin optionsfeatur appear alreadi configur oneof signin mode present video
Manage user accounts,"You are using a local account underWindows 10 and you notice that you are not utilizing all the featuresprovided by this system.This is not a problem as you cantoggle to a Microsoft account at any time.To do this, access the Start menu,click on your account picture andselect Change account settings.Next, click on Sign in with a Microsoft account instead, and fill in the information pertaining to your Microsoft account.You will need to enter your Sign-in password to confirm your choice.You have now successfully changed accounts.you will need to useyour Microsoft account password.By following the same steps, you can toggle between your Microsoft account and a local account.The Email & app accounts section allows you to add all of your accountsso that you can use them with the applications installed on your computersuch as Google, Yahoo and iCloud.To do this, click on Add an account,choose an account type and enterthe information needed to confirm the addition.Let’s now look at the Other people section.This section allows you to createuser accounts on your device if other people also use it.These people will have their own space, including separate filesand browser favourites, as well as their own desktop.Select Add someone else to this PC to begin.If the person you want to add already has a Microsoft account, all you need to do is enter their email address to create an account for them.Once the person is signed in, their online email service, files and settings will be available.If the person you are adding doesnot have a Microsoft account, select I don’t have this person’s sign-in information.Here, you have two options: you can create a new Microsoft accountby clicking on Get a new email address, or create a local account by choosing Add a user without a Microsoft account.Set the person’s username, passwordand password hint, and select Next to finish.You can then change the account type.To do this, choose an account and then click on Change account type.In the dialog box that will open,you will have a choice betweenStandard user and Administrator.",use local account underwindow 10 notic util featuresprovid systemthi problem cantoggl microsoft account timeto access start menuclick account pictur andselect chang account settingsnext click sign microsoft account instead fill inform pertain microsoft accounty need enter signin password confirm choicey success chang accountsy need useyour microsoft account passwordbi follow step toggl microsoft account local accountth email app account section allow add accountsso use applic instal computersuch googl yahoo icloudto click add accountchoos account type enterth inform need confirm additionlet look peopl sectionthi section allow createus account devic peopl also use itthes peopl space includ separ filesand browser favourit well desktopselect add someon els pc beginif person want add alreadi microsoft account need enter email address creat account themonc person sign onlin email servic file set availableif person ad doesnot microsoft account select dont person signin informationher two option creat new microsoft accountbi click get new email address creat local account choos add user without microsoft accountset person usernam passwordand password hint select next finishy chang account typeto choos account click chang account typein dialog box openy choic betweenstandard user administr
